52364E1A,Ch.1[C],Ch.2[%]
2020-06-04 05:31:34,27.7,75
2020-06-04 05:32:34,27.7,75
2020-06-04 05:33:34,27.7,75
2020-06-04 05:34:34,27.7,75
2020-06-04 05:35:34,27.7,75
2020-06-04 05:36:34,27.7,75
2020-06-04 05:37:34,27.7,75
2020-06-04 05:38:34,27.7,75
2020-06-04 05:39:34,27.7,75
2020-06-04 05:40:34,27.7,75
2020-06-04 05:41:34,27.7,75
2020-06-04 05:42:34,27.7,75
2020-06-04 05:43:34,27.7,75
2020-06-04 05:44:34,27.7,75
2020-06-04 05:45:34,27.7,75
2020-06-04 05:46:34,27.7,75
2020-06-04 05:47:34,27.7,75
2020-06-04 05:48:34,27.7,75
2020-06-04 05:49:34,27.7,75
2020-06-04 05:50:34,27.7,75
2020-06-04 05:51:34,27.7,75
2020-06-04 05:52:34,27.7,75
2020-06-04 05:53:34,27.7,75
2020-06-04 05:54:34,27.7,75
2020-06-04 05:55:34,27.7,75
2020-06-04 05:56:34,27.7,75
2020-06-04 05:57:34,27.7,75
2020-06-04 05:58:34,27.7,75
2020-06-04 05:59:34,27.7,75
2020-06-04 06:00:34,27.7,75
2020-06-04 06:01:34,27.7,75
2020-06-04 06:02:34,27.7,75
2020-06-04 06:03:34,27.7,75
2020-06-04 06:04:34,27.7,75
2020-06-04 06:05:34,27.7,75
2020-06-04 06:06:34,27.7,75
2020-06-04 06:07:34,27.7,75
2020-06-04 06:08:34,27.7,75
2020-06-04 06:09:34,27.7,75
2020-06-04 06:10:34,27.7,75
2020-06-04 06:11:34,27.7,75
2020-06-04 06:12:34,27.7,75
2020-06-04 06:13:34,27.7,75
2020-06-04 06:14:34,27.7,75
2020-06-04 06:15:34,27.7,75
2020-06-04 06:16:34,27.7,75
2020-06-04 06:17:34,27.7,75
2020-06-04 06:18:34,27.7,75
2020-06-04 06:19:34,27.7,75
2020-06-04 06:20:34,27.7,75
2020-06-04 06:21:34,27.7,75
2020-06-04 06:22:34,27.7,75
2020-06-04 06:23:34,27.7,75
2020-06-04 06:24:34,27.7,75
2020-06-04 06:25:34,27.7,75
2020-06-04 06:26:34,27.7,75
2020-06-04 06:27:34,27.7,75
2020-06-04 06:28:34,27.7,75
2020-06-04 06:29:34,27.7,75
2020-06-04 06:30:34,27.7,75
2020-06-04 06:31:34,27.7,75
2020-06-04 06:32:34,27.8,75
2020-06-04 06:33:34,27.8,75
2020-06-04 06:34:34,27.8,75
2020-06-04 06:35:34,27.8,75
2020-06-04 06:36:34,27.7,75
2020-06-04 06:37:34,27.7,76
2020-06-04 06:38:34,27.7,76
2020-06-04 06:39:34,27.7,75
2020-06-04 06:40:34,27.7,76
2020-06-04 06:41:34,27.7,76
2020-06-04 06:42:34,27.7,76
2020-06-04 06:43:34,27.7,76
2020-06-04 06:44:34,27.7,76
2020-06-04 06:45:34,27.7,75
2020-06-04 06:46:34,27.7,75
2020-06-04 06:47:34,27.7,75
2020-06-04 06:48:34,27.7,76
2020-06-04 06:49:34,27.7,75
2020-06-04 06:50:34,27.7,75
