5218427A,Ch.1[C],Ch.2[%]
2020-06-04 08:56:50,33.5,71
2020-06-04 08:57:50,33.5,70
2020-06-04 08:58:50,33.7,70
2020-06-04 08:59:50,33.8,70
2020-06-04 09:00:50,33.8,70
2020-06-04 09:01:50,33.7,70
2020-06-04 09:02:50,33.5,70
2020-06-04 09:03:50,33.4,70
2020-06-04 09:04:50,33.5,70
2020-06-04 09:05:50,33.7,70
2020-06-04 09:06:50,33.9,70
2020-06-04 09:07:50,33.6,69
2020-06-04 09:08:50,33.5,69
2020-06-04 09:09:50,33.4,69
2020-06-04 09:10:50,33.6,68
2020-06-04 09:11:50,33.7,68
2020-06-04 09:12:50,33.5,69
2020-06-04 09:13:50,33.4,69
2020-06-04 09:14:50,33.3,70
2020-06-04 09:15:50,33.4,70
2020-06-04 09:16:50,33.5,70
2020-06-04 09:17:50,33.7,69
2020-06-04 09:18:50,33.8,69
2020-06-04 09:19:50,33.7,69
2020-06-04 09:20:50,33.7,69
2020-06-04 09:21:50,33.8,69
2020-06-04 09:22:50,33.8,68
2020-06-04 09:23:50,33.9,67
2020-06-04 09:24:50,34.1,67
2020-06-04 09:25:50,34.3,66
2020-06-04 09:26:50,34.5,66
2020-06-04 09:27:50,34.5,66
2020-06-04 09:28:50,34.3,66
2020-06-04 09:29:50,34.2,65
2020-06-04 09:30:50,34.2,65
2020-06-04 09:31:50,34.2,65
2020-06-04 09:32:50,34.3,65
2020-06-04 09:33:50,34.4,64
2020-06-04 09:34:50,34.6,64
2020-06-04 09:35:50,34.7,64
2020-06-04 09:36:50,34.8,63
2020-06-04 09:37:50,34.8,63
2020-06-04 09:38:50,34.8,64
2020-06-04 09:39:50,34.7,63
2020-06-04 09:40:50,34.7,63
2020-06-04 09:41:50,34.7,63
2020-06-04 09:42:50,34.7,64
2020-06-04 09:43:50,34.7,65
2020-06-04 09:44:50,34.9,65
2020-06-04 09:45:50,35.0,63
2020-06-04 09:46:50,34.8,63
2020-06-04 09:47:50,34.6,64
2020-06-04 09:48:50,34.5,64
2020-06-04 09:49:50,34.4,64
2020-06-04 09:50:50,34.5,64
2020-06-04 09:51:50,34.7,64
2020-06-04 09:52:50,34.9,63
2020-06-04 09:53:50,35.1,63
2020-06-04 09:54:50,35.2,63
2020-06-04 09:55:50,34.9,64
2020-06-04 09:56:50,34.9,63
2020-06-04 09:57:50,35.0,63
2020-06-04 09:58:50,35.1,63
2020-06-04 09:59:50,35.3,62
2020-06-04 10:00:50,35.6,62
2020-06-04 10:01:50,35.8,62
2020-06-04 10:02:50,35.5,62
2020-06-04 10:03:50,35.4,62
2020-06-04 10:04:50,35.3,63
2020-06-04 10:05:50,35.2,63
2020-06-04 10:06:50,35.1,63
2020-06-04 10:07:50,35.3,62
2020-06-04 10:08:50,35.4,61
2020-06-04 10:09:50,35.5,62
2020-06-04 10:10:50,35.6,62
2020-06-04 10:11:50,35.5,62
2020-06-04 10:12:50,35.5,62
2020-06-04 10:13:50,35.4,63
2020-06-04 10:14:50,35.5,62
2020-06-04 10:15:50,35.5,60
2020-06-04 10:16:50,35.4,60
2020-06-04 10:17:50,35.2,61
2020-06-04 10:18:50,35.1,62
2020-06-04 10:19:50,35.2,61
2020-06-04 10:20:50,35.3,62
2020-06-04 10:21:50,35.2,61
2020-06-04 10:22:50,35.3,62
2020-06-04 10:23:50,35.5,61
2020-06-04 10:24:50,35.8,61
2020-06-04 10:25:50,35.8,59
2020-06-04 10:26:50,35.7,59
2020-06-04 10:27:50,35.8,59
2020-06-04 10:28:50,35.9,58
2020-06-04 10:29:50,36.1,58
2020-06-04 10:30:50,36.3,58
2020-06-04 10:31:50,36.4,58
2020-06-04 10:32:50,36.6,57
2020-06-04 10:33:50,36.8,57
2020-06-04 10:34:50,36.7,57
2020-06-04 10:35:50,36.6,57
2020-06-04 10:36:50,36.6,57
2020-06-04 10:37:50,36.5,58
2020-06-04 10:38:50,36.4,58
2020-06-04 10:39:50,36.2,58
2020-06-04 10:40:50,36.1,58
2020-06-04 10:41:50,35.7,58
2020-06-04 10:42:50,35.6,59
2020-06-04 10:43:50,35.7,59
2020-06-04 10:44:50,35.7,59
2020-06-04 10:45:50,35.7,58
2020-06-04 10:46:50,35.7,58
2020-06-04 10:47:50,35.7,57
2020-06-04 10:48:50,35.8,58
2020-06-04 10:49:50,36.0,58
2020-06-04 10:50:50,36.1,56
2020-06-04 10:51:50,36.1,57
2020-06-04 10:52:50,36.0,59
2020-06-04 10:53:50,36.0,59
2020-06-04 10:54:50,36.2,59
2020-06-04 10:55:50,36.6,58
2020-06-04 10:56:50,36.7,57
2020-06-04 10:57:50,36.7,57
2020-06-04 10:58:50,36.9,57
2020-06-04 10:59:50,36.7,56
2020-06-04 11:00:50,36.9,55
2020-06-04 11:01:50,37.1,55
2020-06-04 11:02:50,37.1,55
2020-06-04 11:03:50,37.1,55
2020-06-04 11:04:50,37.0,55
2020-06-04 11:05:50,36.9,55
2020-06-04 11:06:50,36.8,56
2020-06-04 11:07:50,36.8,56
2020-06-04 11:08:50,36.8,56
2020-06-04 11:09:50,36.7,56
2020-06-04 11:10:50,36.8,56
2020-06-04 11:11:50,36.9,55
2020-06-04 11:12:50,37.1,55
2020-06-04 11:13:50,37.2,54
2020-06-04 11:14:50,36.7,54
2020-06-04 11:15:50,36.5,55
2020-06-04 11:16:50,36.6,55
2020-06-04 11:17:50,36.7,55
2020-06-04 11:18:50,37.0,55
2020-06-04 11:19:50,37.2,54
2020-06-04 11:20:50,37.4,54
2020-06-04 11:21:50,37.6,53
2020-06-04 11:22:50,37.4,52
2020-06-04 11:23:50,37.1,53
2020-06-04 11:24:50,37.1,54
2020-06-04 11:25:50,37.1,53
2020-06-04 11:26:50,37.1,54
2020-06-04 11:27:50,37.1,54
2020-06-04 11:28:50,37.2,54
2020-06-04 11:29:50,37.2,55
2020-06-04 11:30:50,37.2,55
2020-06-04 11:31:50,37.1,55
2020-06-04 11:32:50,37.2,56
2020-06-04 11:33:50,37.0,55
2020-06-04 11:34:50,37.0,55
2020-06-04 11:35:50,37.2,55
2020-06-04 11:36:50,37.1,55
2020-06-04 11:37:50,37.1,55
2020-06-04 11:38:50,37.0,55
2020-06-04 11:39:50,37.2,54
2020-06-04 11:40:50,37.3,54
2020-06-04 11:41:50,37.4,54
2020-06-04 11:42:50,37.3,53
2020-06-04 11:43:50,37.3,53
2020-06-04 11:44:50,37.4,52
2020-06-04 11:45:50,37.7,52
2020-06-04 11:46:50,37.9,52
2020-06-04 11:47:50,37.7,52
2020-06-04 11:48:50,37.6,53
2020-06-04 11:49:50,37.6,53
2020-06-04 11:50:50,37.5,53
2020-06-04 11:51:50,37.3,53
2020-06-04 11:52:50,37.3,54
2020-06-04 11:53:50,37.2,53
2020-06-04 11:54:50,37.4,53
2020-06-04 11:55:50,37.4,53
2020-06-04 11:56:50,37.6,53
2020-06-04 11:57:50,37.6,53
2020-06-04 11:58:50,37.8,53
2020-06-04 11:59:50,37.7,52
2020-06-04 12:00:50,37.6,52
2020-06-04 12:01:50,37.3,52
2020-06-04 12:02:50,37.0,53
2020-06-04 12:03:50,37.2,53
2020-06-04 12:04:50,37.3,53
2020-06-04 12:05:50,37.6,53
2020-06-04 12:06:50,37.8,52
2020-06-04 12:07:50,37.8,52
2020-06-04 12:08:50,37.7,52
2020-06-04 12:09:50,37.8,52
2020-06-04 12:10:50,37.6,52
2020-06-04 12:11:50,37.6,51
